id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2383,200,3.777,53.9286,2,14.278,92.2202,92.4188,110.1766,53.5714,0.1025,0.4167
2383,400,3.3018,37.0787,6,11.2299,77.0566,86.8351,93.3538,35.8614,0.1264,0.2525
2383,600,2.9983,38.0127,15,12.6782,80.2036,86.8815,90.742,31.797,0.109,0.3353
2383,800,3.802,44.0261,24,11.5796,63.8963,87.2544,100.0376,31.7886,0.1193,0.289
2383,1000,5.6893,51.1873,29,8.9972,65.4446,88.6283,100.5492,43.5822,0.1086,0.3354
2383,1200,8.3884,56.2189,31,6.702,62.969,90.7424,92.6972,48.7778,0.1068,0.3457
2383,1400,8.0729,55.3217,43,6.8527,65.6366,91.0072,90.8231,47.7318,0.1046,0.3589
2383,1600,7.3189,53.6848,60,7.3351,67.2499,90.7474,90.2335,45.0003,0.111,0.3295
2383,1800,7.2147,51.738,74,7.1712,63.9072,89.8898,97.2564,42.1486,0.1085,0.3374
2383,2000,6.2902,46.9758,95,7.4681,64.5371,88.8218,98.2347,36.7115,0.1037,0.3628
