id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2420,200,2.0643,77.9931,5,37.7813,20.7256,96.935,121.4867,77.3702,0.2762,0.296
2420,400,1.1425,62.0316,28,54.2934,22.4527,93.0829,182.4128,58.4621,0.341,0.1577
2420,600,1.4835,63.0972,49,42.5329,21.7777,94.3103,150.2726,59.7027,0.3438,0.1549
2420,800,1.4633,63.1853,88,43.1806,23.5406,94.7852,138.2471,59.4643,0.3316,0.1748
2420,1000,1.6806,64.0133,121,38.0907,24.4002,95.1051,129.7539,59.8472,0.3293,0.1775
2420,1200,2.0659,66.0582,146,31.975,25.4238,95.521,123.8466,59.72,0.3334,0.1713
2420,1400,2.1339,66.7149,194,31.2638,25.5921,95.7367,118.5521,57.3073,0.3347,0.1682
2420,1600,2.1591,67.7414,254,31.3748,24.3669,95.9764,113.3412,64.5659,0.3356,0.1654
2420,1800,2.1897,68.6466,321,31.3492,24.6542,96.145,110.6307,65.5215,0.3316,0.1741
2420,2000,2.3896,69.4158,367,29.0488,25.5987,96.3048,106.6769,66.5582,0.3314,0.1744
