id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2425,200,13.2401,100,1,7.5528,0,0,0,100,0.0122,0
2425,400,51.0807,99.0048,1,1.9382,0,0,10.2076,99.0048,0.007,0
2425,600,37.1224,96.6423,3,2.6033,19.9045,99.219,26.5902,96.6025,0.1996,0.4752
2425,800,39.6946,97.3904,5,2.4535,19.151,99.2581,26.6416,97.3679,0.3145,0.2302
2425,1000,62.4265,98.2623,5,1.574,19.151,99.4964,17.6648,98.2479,0.3142,0.231
2425,1200,89.9465,98.5256,5,1.0954,19.151,99.5617,15.6913,98.5156,0.314,0.2313
2425,1400,122.6378,98.8004,5,0.8056,19.151,99.6247,13.5463,98.793,0.3139,0.2316
2425,1600,160.0199,98.8222,5,0.6176,19.151,99.6292,13.6128,98.8165,0.3139,0.2317
2425,1800,202.8283,99.0286,5,0.4882,19.151,99.6826,11.4821,99.0241,0.3138,0.2319
2425,2000,250.533,99.1408,5,0.3957,19.151,99.7163,10.2764,99.137200000000007,0.3138,0.2321
