id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2429,200,14.0796,100,1,7.1025,0,0,0,100,0.0114,0
2429,400,52.2706,98.0198,1,1.8752,0,0,13.3507,98.0198,0.007,0
2429,600,36.9884,92.8571,3,2.5104,59.3288,96.898,40.2142,92.3417,0.0661,0.4702
2429,800,24.8028,82.9689,7,3.3451,60.3292,93.2331,78.6766,81.2027,0.0824,0.3679
2429,1000,22.5994,76.5168,11,3.3858,66.4332,90.8894,97.5155,74.3499,0.0946,0.2802
2429,1200,20.1845,69.6131,16,3.4488,60.6418,89.2352,103.9064,66.9765,0.0924,0.2906
2429,1400,20.0987,63.7099,20,3.1699,95.2159,87.8,108.2777,62.6639,0.1035,0.2065
2429,1600,14.1961,58.8772,34,4.1474,71.5449,86.5539,109.2079,57.1597,0.1009,0.2206
2429,1800,13.5316,57.3487,44,4.2381,76.404,85.6213,111.6347,53.4752,0.0962,0.2544
2429,2000,15.1869,57.1074,48,3.7603,66.735,85.6637,111.0357,52.0612,0.095,0.2615
