id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2460,200,3.117,43.8679,2,14.074,51.7808,82.5301,131.177,42.9245,0.0775,0.4396
2460,400,2.1642,28.1445,7,13.0048,56.3526,73.6342,128.4271,21.0461,0.0879,0.3886
2460,600,1.1365,21.0615,22,18.5322,61.1081,66.0537,117.3342,9.5426,0.0958,0.3303
2460,800,0.7687,17.3201,47,22.531,71.6494,60.5238,107.8552,5.4306,0.1071,0.2657
2460,1000,0.8072,17.757,71,21.998,66.798,57.6015,116.7955,3.5099,0.1067,0.2706
2460,1200,0.8955,19.9247,103,22.2501,66.1305,59.6937,125.1124,2.4471,0.1096,0.2528
2460,1400,0.973,20.457,132,21.0253,68.2808,59.3483,128.9127,1.9646,0.1065,0.2658
2460,1600,0.988,20.393,169,20.6403,72.616,60.5899,124.4263,2.0139,0.1096,0.25
2460,1800,1.0114,19.9456,204,19.721,72.2908,61.6212,119.51220000000001,2.0477,0.1104,0.2446
2460,2000,0.9811,19.2366,250,19.6078,70.1788,61.4006,115.7045,1.7349,0.1109,0.2386
