id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2470,200,1.0323,37.561,5,36.3863,51.7808,66.1765,175.2226,19.0244,0.0912,0.3526
2470,400,1.222,29.5511,13,24.1819,75.4348,76.7494,122.3264,19.7007,0.1016,0.2858
2470,600,0.7076,21.5176,36,30.4112,73.6514,70.1803,103.2315,12.0612,0.1103,0.2349
2470,800,0.6874,18.2171,55,26.5023,72.815,67.6852,94.8143,8.4302,0.1131,0.2301
2470,1000,0.7017,17.1612,79,24.4564,70.8754,63.9098,97.6228,6.3914,0.1145,0.2188
2470,1200,0.7117,15.6412,102,21.9768,72.8537,62.0952,95.0547,4.7805,0.1157,0.215
2470,1400,0.5823,13.8839,150,23.844,72.9626,58.942,90.2538,3.6974,0.121,0.1846
2470,1600,0.529,12.5338,194,23.6936,71.5756,56.7214,85.9127,2.8408,0.1206,0.1863
2470,1800,0.4954,11.2975,236,22.8072,73.8755,55.4935,78.865,2.2478,0.1197,0.1886
2470,2000,0.4964,10.5404,271,21.2325,75.4053,54.9439,74.7901,1.8224,0.1191,0.1901
