id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2558,200,6.3678,44.6328,1,7.0092,0,0,75.6189,44.6328,0.025,0
2558,400,5.6155,31.2874,3,5.5717,59.016,84.8329,79.6196,27.994,0.0574,0.5494
2558,600,3.2472,19.2098,7,5.9158,68.7235,81.5094,59.7438,15.6676,0.0863,0.3567
2558,800,2.616,13.8051,11,5.2772,89.0213,77.5148,49.4422,10.0928,0.0897,0.3079
2558,1000,1.8002,11.658,21,6.476,96.2732,73.1544,47.4536,7.134,0.0915,0.3079
2558,1200,1.4778,10.5089,33,7.1114,109.6459,69.7414,47.1101,5.4716,0.0951,0.2843
2558,1400,1.467,10.4919,45,7.1519,108.7715,70.0633,45.9345,4.3684,0.0947,0.2907
2558,1600,1.6121,11.6039,59,7.198,108.5376,73.0249,45.2707,3.9532,0.0943,0.2897
2558,1800,1.9428,12.7618,68,6.5687,106.2584,74.6325,46.6232,3.5973,0.0944,0.2925
2558,2000,2.1072,13.8768,84,6.5853,98.0684,75.2676,48.6771,3.1216,0.0942,0.2913
