id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2559,200,14.2826,100,1,7.0015,0,0,0,100,0.0111,0
2559,400,53.6607,100,1,1.8636,0,0,0,100,0.0059,0
2559,600,118.3763,100,1,0.8448,0,0,0,100,0.004,0
2559,800,208.4294,100,1,0.4798,0,0,0,100,0.0031,0
2559,1000,323.9814,99.8508,1,0.3082,0,0,1.6634,99.8508,0.0026,0
2559,1200,462.8536,99.7045,1,0.2154,0,0,2.6924,99.7045,0.0023,0
2559,1400,627.8703,99.7436,1,0.1589,0,0,2.3917,99.7436,0.002,0
2559,1600,817.9824,99.7442,1,0.1219,0,0,2.7018,99.7442,0.0018,0
2559,1800,1032.6251,99.6884,1,0.0965,0,0,3.3731,99.6884,0.0017,0
2559,2000,1273.3316,99.6967,1,0.0783,0,0,3.1805,99.6967,0.0016,0
