id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2565,200,14.2805,98.3516,1,6.8871,0,0,13.617,98.3516,0.0123,0
2565,400,49.9419,91.7889,1,1.8379,0,0,30.1091,91.7889,0.0081,0
2565,600,27.8696,70.2884,3,2.522,71.6069,94.387,68.6238,69.4836,0.0588,0.5437
2565,800,13.9415,53.4608,8,3.8347,71.3221,90.4814,80.9625,50.9369,0.0838,0.3745
2565,1000,15.5729,48.1381,10,3.0911,103.6375,88.0996,83.2937,42.5154,0.0602,0.5355
2565,1200,11.4379,46.8041,19,4.092,84.5525,87.4041,83.4614,39.2955,0.0816,0.3887
2565,1400,12.778,48.5967,24,3.8032,71.3171,87.6785,85.2207,39.3679,0.0844,0.362
2565,1600,10.2875,48.8537,39,4.7489,76.4924,87.6361,85.6386,38.4399,0.0964,0.2846
2565,1800,10.1783,49.1259,50,4.8266,72.8431,87.1329,89.9487,38.3982,0.0909,0.3212
2565,2000,9.5917,49.5659,66,5.1676,70.0183,86.8205,92.4414,36.1359,0.0913,0.3215
