id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2569,200,14.4401,100,1,6.9252,0,0,0,100,0.0113,0
2569,400,54.7287,100,1,1.8272,0,0,0,100,0.006,0
2569,600,119.4298,100,1,0.8373,0,0,0,100,0.0041,0
2569,800,209.1817,100,1,0.4781,0,0,0,100,0.0031,0
2569,1000,324.3034,100,1,0.3084,0,0,0,100,0.0025,0
2569,1200,464.5557,100,1,0.2153,0,0,0,100,0.0021,0
2569,1400,629.6193,100,1,0.1588,0,0,0,100,0.0018,0
2569,1600,819.7337,100,1,0.122,0,0,0,100,0.0016,0
2569,1800,515.1757,99.5376,2,0.1932,63.1583,99.7969,1.8828,99.4682,0.0401,0.6885
2569,2000,315.408,98.9488,4,0.3137,58.1575,99.6462,3.8988,98.8988,0.0756,0.4031
