id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2582,200,3.8943,77.9762,3,20.0232,59.7269,87.0293,137.5308,76.7857,0.0979,0.2631
2582,400,18.9959,72.0812,2,3.7946,59.7269,83.7037,158.08,71.7428,0.0637,0.4733
2582,600,20.3782,68.4644,4,3.3597,59.7269,83.3616,155.2636,68.0899,0.0901,0.2819
2582,800,10.4864,60.0681,12,5.7282,68.3774,80.6264,160.515,58.1098,0.1044,0.2
2582,1000,6.2364,54.0436,28,8.6658,71.1065,78.0246,159.434,50.1794,0.096,0.2447
2582,1200,6.1603,53.1448,40,8.627,72.0888,77.583,159.2168,47.7592,0.0962,0.2516
2582,1400,6.5618,54.0319,52,8.2343,67.6513,77.4176,162.4398,46.1234,0.0999,0.2251
2582,1600,7.5716,55.3094,60,7.3049,68.4725,77.999,161.8297,50.7926,0.0991,0.2265
2582,1800,7.3393,55.2838,78,7.5326,69.3737,78.599,158.5895,50.5383,0.0995,0.2234
2582,2000,7.659,55.1284,92,7.1978,67.19,78.4754,158.9242,49.1278,0.0955,0.253
