id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2586,200,0.907,18.8235,3,20.7538,119.3847,71.1538,66.5699,14.7059,0.0918,0.29
2586,400,2.5084,18.5243,4,7.3849,125.2926,73.3645,76.9856,8.3203,0.0629,0.4768
2586,600,3.5004,17.7188,6,5.0619,156.7515,74.8918,65.9303,6.6714,0.0827,0.3641
2586,800,4.2893,18.4703,9,4.3061,123.9939,77.8035,59.7138,7.8519,0.0669,0.4692
2586,1000,3.3067,18.3727,18,5.5561,136.6795,77.8025,57.156,8.0315,0.0747,0.4189
2586,1200,3.5996,18.6149,24,5.1713,124.3574,79.7764,53.4698,6.9806,0.0746,0.4247
2586,1400,4.1054,20.8558,32,5.0801,133.2464,82.3979,51.2459,6.5875,0.0826,0.3645
2586,1600,4.0254,23.026,47,5.7202,121.5043,84.2939,50.9276,9.2725,0.0857,0.342
2586,1800,3.4563,23.6693,71,6.8482,111.7546,83.4922,54.5637,10.2272,0.0865,0.34
2586,2000,3.939,23.7262,77,6.0234,107.085,83.1622,56.7758,9.7712,0.082,0.3685
