id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2606,200,13.2976,95.5128,1,7.1827,0,0,21.4577,95.5128,0.0135,0
2606,400,49.7989,91.6256,1,1.8399,0,0,36.8269,91.6256,0.0097,0
2606,600,100.9365,84.34,1,0.8356,0,0,34.1979,84.34,0.0076,0
2606,800,77.0634,74.152,2,0.9622,66.8002,96.4392,39.956,74.1091,0.0709,0.4674
2606,1000,54.4843,67.0879,4,1.2313,68.9795,95.7367,44.0495,67.0055,0.1025,0.2329
2606,1200,35.4304,60.9597,8,1.7205,67.0083,93.8291,54.355,60.7294,0.1121,0.1666
2606,1400,59.3333,56.5415,6,0.9529,65.9023,93.0582,56.0351,56.2013,0.0898,0.2904
2606,1600,49.432,54.2201,9,1.0969,84.4676,93.2743,51.9549,53.8068,0.0938,0.2721
2606,1800,46.5374,49.2953,11,1.0593,73.5022,92.9859,51.2926,48.5218,0.0804,0.3668
2606,2000,33.3778,44.3963,17,1.3301,73.5787,92.7047,47.5895,43.5514,0.0825,0.3451
