id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2622,200,14.2793,100,1,7.0032,0,0,0,100,0.0113,0
2622,400,26.0597,95.7377,2,3.6738,59.7479,97.4978,26.3402,84.918,0.0156,0.8656
2622,600,56.3585,94.4652,2,1.6761,59.7479,97.4735,29.2928,77.1129,0.0104,0.9121
2622,800,196.8753,94.1126,1,0.478,0,0,25.4196,94.1126,0.0058,0
2622,1000,305.6655,94.2488,1,0.3083,0,0,23.4889,94.2488,0.005,0
2622,1200,436.1423,93.7284,1,0.2149,0,0,21.6997,93.7284,0.0044,0
2622,1400,196.1614,93.4127,3,0.4762,76.0234,98.2265,20.9123,93.1152,0.038,0.6672
2622,1600,151.8243,92.4465,5,0.6089,94.382,98.2944,20.3005,91.827,0.0729,0.4329
2622,1800,239.4454,92.366,4,0.3857,108.1948,98.2781,20.1092,91.884,0.057,0.5479
2622,2000,295.5808,92.5204,4,0.313,108.1948,98.3933,19.0525,91.7522,0.0553,0.5618
