id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2625,200,14.2977,100,1,6.9941,0,0,0,100,0.0113,0
2625,400,54.5101,99.6732,1,1.8285,0,0,2.1864,99.6732,0.0059,0
2625,600,114.4712,96.3883,1,0.842,0,0,19.3817,96.3883,0.0058,0
2625,800,192.3045,91.8089,1,0.4774,0,0,26.1168,91.8089,0.0058,0
2625,1000,297.1247,91.5474,1,0.3081,0,0,29.7497,91.5474,0.0058,0
2625,1200,421.6044,90.5566,1,0.2148,0,0,32.104,90.5566,0.0056,0
2625,1400,565.1178,89.7149,1,0.1588,0,0,32.8401,89.7149,0.0054,0
2625,1600,727.0396,88.531,1,0.1218,0,0,32.2511,88.531,0.005,0
2625,1800,882.3487,85.0767,1,0.0964,0,0,32.6856,85.0767,0.005,0
2625,2000,1047.2195,81.8938,1,0.0782,0,0,30.7874,81.8938,0.0048,0
