id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2644,200,0,11.862,0,0,0,0,0,0,0,0
2644,400,0,11.862,0,0,0,0,0,0,0,0
2644,600,0.5416,1.8313,4,3.3811,116.9433,64.4444,10.5806,1.5697,0.1138,0.1736
2644,800,1.7486,4.1867,5,2.3943,137.8712,74.5098,17.5823,1.8896,0.0742,0.4451
2644,1000,2.2438,7.6097,11,3.3914,162.9916,77.2425,24.3557,1.7176,0.0656,0.5072
2644,1200,4.507,11.6384,12,2.5823,193.5252,77.3978,36.5131,2.5142,0.0535,0.5955
2644,1400,9.1107,17.3758,12,1.9072,186.6987,83.2,41.6887,4.8697,0.0561,0.5803
2644,1600,10.4986,20.4947,16,1.9521,135.1575,84.7693,44.7981,5.9662,0.0611,0.5385
2644,1800,10.7021,22.731,22,2.124,98.9271,86.1255,46.2976,13.4608,0.0772,0.4251
2644,2000,9.3144,24.8241,34,2.6651,97.4286,86.833,47.1839,13.8646,0.0789,0.4126
