id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2652,200,2.0268,43.5484,3,21.4866,56.9522,77.7778,160.9089,40.8602,0.0871,0.3618
2652,400,0.9383,24.2047,14,25.7957,78.1224,67.4923,124.6918,13.1397,0.0934,0.2966
2652,600,1.2488,23.2676,22,18.6317,79.8869,71.7172,98.3822,6.8023,0.0985,0.2749
2652,800,1.2646,23.6501,39,18.7021,81.0831,74.4849,95.7799,9.3593,0.1028,0.2533
2652,1000,1.0349,19.4992,61,18.8412,82.1276,71.0591,83.9482,6.9789,0.104,0.2456
2652,1200,1.1654,19.6177,78,16.8328,84.7556,71.4286,84.4919,5.8318,0.1006,0.2645
2652,1400,1.1309,19.03,106,16.8267,83.6843,71.7084,79.7216,4.3851,0.1024,0.2576
2652,1600,1.2931,20.2034,128,15.6237,79.4177,72.4745,82.3348,3.3718,0.1001,0.2714
2652,1800,1.3406,20.1796,156,15.0527,80.8452,72.3015,82.7212,3.8317,0.0987,0.2819
2652,2000,1.3256,19.5248,188,14.7287,81.7509,72.5628,79.9351,3.9579,0.0985,0.2838
