id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2668,200,2.5898,35.567,2,13.7337,54.7962,78.5124,133.5783,29.8969,0.053900000000000003,0.5967
2668,400,1.3845,23.2819,9,16.8156,75.9763,75.1634,98.7977,8.5554,0.0973,0.3078
2668,600,1.0598,15.1899,17,14.3334,114.974,72.1604,67.4536,4.1139,0.0948,0.3101
2668,800,0.893,12.3612,29,13.8419,96.4982,68.0982,62.3789,2.3289,0.097,0.2862
2668,1000,0.6741,10.2088,49,15.1453,96.636,63.9618,56.4843,1.5081,0.1048,0.2465
2668,1200,0.7731,11.2013,67,14.4895,100.1051,64.6571,58.4219,1.5747,0.0989,0.2824
2668,1400,1.1716,15.6481,84,13.3566,95.0435,73.2052,60.4684,5.777,0.0995,0.2763
2668,1600,1.5042,18.8821,103,12.5527,96.7563,77.4585,62.2394,8.2792,0.1002,0.2726
2668,1800,1.7616,20.7765,122,11.7942,96.2976,78.5333,66.1376,8.6792,0.0981,0.2869
2668,2000,2.1099,21.4853,130,10.183,94.8568,79.4073,66.1001,8.0731,0.0964,0.2969
