id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2799,200,10.2792,72.6891,1,7.0715,0,0,122.3841,72.6891,0.0266,0
2799,400,6.4171,60.3352,5,9.4023,64.7967,89.6418,109.5516,50.2793,0.0811,0.458
2799,600,14.474,60.9915,5,4.2139,52.2039,89.814,99.8394,36.6049,0.0628,0.61240000000000006
2799,800,17.1047,66.0075,8,3.859,56.2838,91.929,86.4231,27.515,0.0805,0.4876
2799,1000,24.8562,69.3115,9,2.7885,59.156,92.5071,82.5475,26.1046,0.0747,0.5263
2799,1200,36.2049,70.3528,9,1.9432,62.9327,92.393,87.312,30.3656,0.0775,0.5004
2799,1400,32.1744,71.8374,14,2.2327,64.4349,92.6536,84.9414,35.1654,0.1079,0.324
2799,1600,30.0473,73.3909,20,2.4425,59.1764,92.8393,84.8712,33.8872,0.114,0.2786
2799,1800,29.2904,73.7627,26,2.5183,59.8082,92.9035,85.397,38.087,0.1127,0.2744
2799,2000,39.6363,74.6178,24,1.8826,58.8298,93.0649,83.9573,37.0293,0.1028,0.3343
