id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2811,200,13.3095,97.8166,1,7.3494,0,0,8.9573,97.8166,0.0117,0
2811,400,21.3011,80.2013,2,3.7651,77.0826,96.8841,53.2309,79.9776,0.0669,0.5451
2811,600,19.0284,64.3072,4,3.3795,48.7513,94.9799,60.5483,62.0482,0.0832,0.4443
2811,800,41.1762,59.3153,3,1.4405,134.3096,93.8023,64.6093,55.7489,0.0351,0.7505
2811,1000,19.8058,55.1978,9,2.787,59.3664,92.4618,71.2551,50.1196,0.0773,0.4941
2811,1200,28.7778,56.0859,9,1.9489,94.0807,92.1258,73.5824,46.9249,0.0788,0.482
2811,1400,19.0729,57.8159,19,3.0313,75.9831,92.1518,73.3845,55.8442,0.1167,0.2514
2811,1600,25.392,62.0292,20,2.4429,57.7676,92.2645,77.3806,59.9681,0.1058,0.3134
2811,1800,24.3655,63.5956,27,2.6101,60.7181,92.3768,78.8208,61.2005,0.1134,0.2707
2811,2000,36.632,66.1226,23,1.805,58.7936,92.6887,77.7448,65.1947,0.1196,0.2332
